viewpoint_id,forward_ratio_W,lateral_ratio_W,gap_id,gap_width,gap_width_ratio_W,free_continuation_depth,free_continuation_depth_ratio_W,matched_branch_eval,true_positive_eval,false_positive_eval,center_error_eval,endpoint_error_eval,mouth_overlap_eval
F+0.500_L-0.400,0.5,-0.4,2,84.03212315794518,1.0003824185469665,77.33183467819,0.920617079502262,INCOMING,True,False,3.426514702787074,3.426514702787067,0.9592237518937056
F+0.500_L-0.300,0.5,-0.3,2,84.05460884481464,1.0006501052954124,79.72787602503477,0.949141381250414,INCOMING,True,False,2.50057353026412,2.5005735302641128,0.970250607734303
F+0.500_L-0.200,0.5,-0.2,2,84.00917774471974,1.0001092588657112,80.98737995649714,0.964135475672585,INCOMING,True,False,1.3945484118802653,1.3945484118802582,0.98340004688395
F+0.500_L-0.100,0.5,-0.1,0,84.00114211914126,1.0000135966564436,82.945265967038,0.987443642464738,INCOMING,True,False,2.023479544037315,2.023479544037315,0.9759112853350571
F+0.500_L+0.000,0.5,0.0,0,84.00105232675354,1.000012527699447,82.7994739509415,0.9857080232254941,INCOMING,True,False,1.5714289634588567,1.5714289634588496,0.9812927466986224
F+0.500_L+0.100,0.5,0.1,1,84.01361248301957,1.0001620533692805,81.71903149342879,0.9728456130170093,INCOMING,True,False,1.2283098244934223,1.2283098244934223,0.9853796332738141
F+0.500_L+0.200,0.5,0.2,0,84.00388371465463,1.0000462346982695,79.83531782611804,0.950420450310929,INCOMING,True,False,1.0839935425031229,1.0839935425031229,0.9870959115868352
F+0.500_L+0.300,0.5,0.3,1,84.0126764032929,1.0001509095630108,78.82902683600697,0.9384407956667496,INCOMING,True,False,2.882659245381035,2.882659245381035,0.9656878060693702
F+0.500_L+0.400,0.5,0.4,1,84.09970635078305,1.0011869803664648,75.82532220141874,0.9026824071597469,INCOMING,True,False,3.5460281360558383,3.5460281360558312,0.9578354278519687
F+0.600_L-0.500,0.6,-0.5,1,125.59542693631846,1.4951836540037913,44.16463133635626,0.5257694206709078,FALSE,False,True,47.28516580148577,47.28516580148576,0.6235120421585008
F+0.600_L-0.500,0.6,-0.5,2,87.96953651887299,1.0472563871294402,88.36685065010232,1.051986317263123,FALSE,False,True,13.663168701779448,13.663168701779444,0.8446829522757785
F+0.600_L-0.400,0.6,-0.4,2,84.0277903984698,1.0003308380770215,83.21083432836785,0.9906051705758078,INCOMING,True,False,1.6365183692486696,1.636518369248666,0.9805240818366388
F+0.600_L-0.300,0.6,-0.3,2,84.0191223560948,1.0002276470963667,87.42074115014576,1.0407231089303066,INCOMING,True,False,2.324489928765999,2.324489928765992,0.972333798978354
F+0.600_L-0.200,0.6,-0.2,2,84.00921412989099,1.0001096920225119,89.65386587923027,1.0673079271336936,INCOMING,True,False,1.9064329009287917,1.9064329009287881,0.9773068594835186
F+0.600_L-0.100,0.6,-0.1,0,84.00872191591269,1.000103832332294,90.17301065028869,1.0734882220272464,INCOMING,True,False,0.8912486561395454,0.8912486561395454,0.9893909985080879
F+0.600_L+0.000,0.6,0.0,0,84.00198920695817,1.0000236810352163,90.02985385550362,1.071783974470281,INCOMING,True,False,0.4045957205490964,0.4045957205491,0.9951834983389228
F+0.600_L+0.100,0.6,0.1,1,84.00009617522733,1.0000011449431825,89.20268513049183,1.0619367277439504,INCOMING,True,False,0.4068265335123371,0.4068265335123371,0.9951568325271476
F+0.600_L+0.200,0.6,0.2,0,84.00133252295919,1.0000158633685619,88.86634416681252,1.05793266865253,INCOMING,True,False,2.1013260521482806,2.1013260521482806,0.9749846104932449
F+0.600_L+0.300,0.6,0.3,1,84.00079782029297,1.0000094978606306,84.10104845999582,1.0012029578570931,INCOMING,True,False,0.21799706366851979,0.21799706366852334,0.9974048215097326
F+0.600_L+0.400,0.6,0.4,1,84.10667740956677,1.0012699691615092,83.61802018112708,0.9954526212038938,INCOMING,True,False,4.169740065566629,4.169740065566629,0.9504231983239378
F+0.700_L-0.500,0.7,-0.5,1,119.51022896829492,1.42274082105113,42.86839793982194,0.510338070712166,FALSE,False,True,43.06586237388013,43.06586237388012,0.6396470599574775
F+0.700_L-0.500,0.7,-0.5,2,85.85819623272933,1.0221213837229681,91.46995652682858,1.0889280538908164,INCOMING,True,False,9.44386527417381,9.443865274173806,0.8900062464790778
F+0.700_L-0.400,0.7,-0.4,3,89.62808528160424,1.0670010152571934,44.81104209797347,0.5334647868806366,FALSE,False,True,10.341171955555744,12.415282432102114,0.8614799993429036
F+0.700_L-0.400,0.7,-0.4,4,84.09017095414325,1.0010734637398007,90.93017442000632,1.0825020764286468,INCOMING,True,False,2.1935535548765728,2.1935535548765692,0.9739142692898939
F+0.700_L-0.300,0.7,-0.3,3,84.95176878458294,1.0113305807688444,43.14093398974184,0.5135825474969267,LEFT,True,False,2.321276938163391,3.400179321197254,0.9599751792123448
F+0.700_L-0.300,0.7,-0.3,4,84.00009585733147,1.000001141158708,93.81554222261394,1.1168516931263563,INCOMING,True,False,0.8865741398382028,0.8865741398381957,0.9894455579986006
F+0.700_L-0.300,0.7,-0.3,5,119.76102330530058,1.425726467920245,53.63673875064818,0.6385326041743831,FALSE,False,True,41.58932883900829,42.41244340425198,0.6458577070092986
F+0.700_L-0.200,0.7,-0.2,2,84.00250671100738,1.000029841797707,96.79775729116805,1.1523542534662863,INCOMING,True,False,0.9161267833724338,0.9161267833724374,0.9890940542224035
F+0.700_L-0.100,0.7,-0.1,0,85.45324344511654,1.0173005172037684,45.72381389661696,0.5443311178168686,LEFT,True,False,2.6339243545861537,3.822471873588526,0.9552682646148644
F+0.700_L-0.100,0.7,-0.1,1,84.00011038670782,1.000001314127474,99.13088813629797,1.1801296206702139,INCOMING,True,False,1.5146925214525382,1.5146925214525382,0.9819679698695702
F+0.700_L-0.100,0.7,-0.1,2,120.66699250335283,1.4365118155161052,56.64269428705133,0.6743177891315634,FALSE,False,True,41.21205123986642,42.79476887656758,0.6453481769227115
F+0.700_L+0.000,0.7,0.0,0,84.00800551676349,1.0000953037709939,99.04716984190372,1.1791329743083776,INCOMING,True,False,1.0264964654091813,1.0264964654091777,0.9877809685030037
F+0.700_L+0.100,0.7,0.1,0,121.36436006287813,1.4448138102723587,56.392803850190035,0.6713429029784528,FALSE,False,True,41.22457344462545,42.80087202731327,0.6473357416861227
F+0.700_L+0.100,0.7,0.1,2,84.00199582913267,1.000023759870627,98.32903054571688,1.17058369697282,INCOMING,True,False,1.287012666594265,1.287012666594265,0.9846787846658768
F+0.700_L+0.100,0.7,0.1,4,85.02239457723812,1.0121713640147394,44.720942080646466,0.5323921676267437,RIGHT,True,False,3.069741203959962,4.063732707421982,0.9522039725224357
F+0.700_L+0.200,0.7,0.2,0,119.97184464681162,1.4282362457953763,54.84147690744234,0.6528747250885993,FALSE,False,True,41.43523244650603,42.56647330807843,0.6451961421999384
F+0.700_L+0.200,0.7,0.2,1,84.0018318793131,1.0000218080870606,96.15890597070717,1.1447488806036568,INCOMING,True,False,1.4086326156739801,1.4086326156739872,0.983230929800462
F+0.700_L+0.200,0.7,0.2,2,85.6876736618731,1.020091353117537,44.034669809984976,0.5242222596426783,RIGHT,True,False,2.4184344860336746,3.710720673786721,0.956694813673792
F+0.700_L+0.300,0.7,0.3,2,84.00500471476757,1.0000595799377092,93.50560560569974,1.1131619714964256,INCOMING,True,False,2.303464978428863,2.3034649784288668,0.9725794315916045
F+0.700_L+0.300,0.7,0.3,4,90.00548137651903,1.0714938259109408,44.99945794643624,0.5357078326956695,FALSE,False,True,14.040458770510988,15.593312825745581,0.8267515201600419
F+0.700_L+0.400,0.7,0.4,0,120.34997468912219,1.4327377939181214,50.50203686098742,0.6012147245355645,FALSE,False,True,39.76576989233292,42.637572381985265,0.6457201383538052
F+0.700_L+0.400,0.7,0.4,3,84.05384266271913,1.0006409840799897,89.78686931469822,1.068891301365455,INCOMING,True,False,3.2133777866613116,3.2133777866613116,0.9617700073564089
F+0.700_L+0.400,0.7,0.4,6,88.71874694730556,1.0561755588964947,44.43253699321012,0.5289587737286919,RIGHT,True,False,3.255212195166466,5.100056922063128,0.9425143264805994
F+0.700_L+0.400,0.7,0.4,8,89.28533755853869,1.0629206852206987,44.639790549628216,0.5314260779717644,RIGHT,True,False,7.412526709537619,9.6140425867308,0.8923222686991861
