viewpoint_id,branch_eval,forward_ratio_W,lateral_ratio_W,distance_ratio_W,topology_state,near_boundary_visible_eval,far_opposite_boundary_visible_eval,near_endpoint_error_eval,far_opposite_endpoint_error_eval
F+0.600_L+0.300,RIGHT,0.6,0.3,0.6708203932499369,PARTIAL_GAP_TOPOLOGY,True,False,2.8532428920020405,82.05931972138238
F+0.600_L+0.400,LEFT,0.6,0.4,0.7211102550927978,PARTIAL_GAP_TOPOLOGY,True,False,4.51902927987776,84.07615182581998
F+0.600_L+0.400,RIGHT,0.6,0.4,0.7211102550927978,PARTIAL_GAP_TOPOLOGY,True,False,8.525042625077072,88.3097700853918
F+0.700_L-0.500,LEFT,0.7,-0.5,0.8602325267042626,NO_GAP_TOPOLOGY,False,False,20.425007698673994,100.3467855328781
F+0.700_L-0.500,RIGHT,0.7,-0.5,0.8602325267042626,PARTIAL_GAP_TOPOLOGY,True,False,3.2493223147161183,82.58509887352551
F+0.700_L-0.400,LEFT,0.7,-0.4,0.8062257748298549,PARTIAL_GAP_TOPOLOGY,True,False,6.45765927682356,18.372905587380668
F+0.700_L-0.400,RIGHT,0.7,-0.4,0.8062257748298549,PARTIAL_GAP_TOPOLOGY,True,False,3.0081298256927353,82.2712769307819
F+0.700_L-0.300,LEFT,0.7,-0.3,0.7615773105863908,COMPLETE_GAP_TOPOLOGY,True,True,3.2362812815832447,3.564077360811264
F+0.700_L-0.300,RIGHT,0.7,-0.3,0.7615773105863908,PARTIAL_GAP_TOPOLOGY,True,False,3.4597724081441883,82.5685364761393
F+0.700_L-0.200,LEFT,0.7,-0.2,0.7280109889280518,PARTIAL_GAP_TOPOLOGY,True,False,3.8080827199217273,83.26462414062064
F+0.700_L-0.200,RIGHT,0.7,-0.2,0.7280109889280518,PARTIAL_GAP_TOPOLOGY,True,False,3.2736315764069825,82.61586466956673
F+0.700_L-0.100,LEFT,0.7,-0.1,0.7071067811865475,COMPLETE_GAP_TOPOLOGY,True,True,3.6600887800293926,3.984854967147659
F+0.700_L-0.100,RIGHT,0.7,-0.1,0.7071067811865475,PARTIAL_GAP_TOPOLOGY,True,False,4.103209770540251,83.08940425018208
F+0.700_L+0.000,LEFT,0.7,0.0,0.7,PARTIAL_GAP_TOPOLOGY,True,False,4.123817383370795,83.63028338232878
F+0.700_L+0.000,RIGHT,0.7,0.0,0.7,PARTIAL_GAP_TOPOLOGY,True,False,3.160061289146074,82.47088230087553
F+0.700_L+0.100,LEFT,0.7,0.1,0.7071067811865475,PARTIAL_GAP_TOPOLOGY,True,False,4.0977597772531835,83.60046629099902
F+0.700_L+0.100,RIGHT,0.7,0.1,0.7071067811865475,COMPLETE_GAP_TOPOLOGY,True,True,3.6034595859299428,4.524005828914022
F+0.700_L+0.200,LEFT,0.7,0.2,0.7280109889280518,PARTIAL_GAP_TOPOLOGY,True,False,3.7154732874833427,82.55773344047724
F+0.700_L+0.200,RIGHT,0.7,0.2,0.7280109889280518,COMPLETE_GAP_TOPOLOGY,True,True,3.227792529722582,4.1936488178508595
F+0.700_L+0.300,LEFT,0.7,0.3,0.7615773105863908,PARTIAL_GAP_TOPOLOGY,True,False,4.3340404206341905,83.86883472464744
F+0.700_L+0.300,RIGHT,0.7,0.3,0.7615773105863908,PARTIAL_GAP_TOPOLOGY,True,False,5.164893400400663,26.021732251090498
F+0.700_L+0.400,LEFT,0.7,0.4,0.8062257748298549,PARTIAL_GAP_TOPOLOGY,True,False,4.21417079306501,82.51107424753974
F+0.700_L+0.400,RIGHT,0.7,0.4,0.8062257748298549,COMPLETE_GAP_TOPOLOGY,True,True,3.1912898625763284,7.008823981549928
