frame,time,map_case,lidar_x_eval,lidar_y_eval,corridor_width,max_range,local_lateral_offset,opening_group_count,junction_detected,detector_state,leader_speed,measured_profile_summary,expected_profile_summary,max_abs_valid_profile_delta,GT_phase_eval_only,nan_inf_state_count,noise_std,dropout,occlusion
300,5.016666666666654,M0_STRAIGHT,-1.7894644928138037,188.52843594156954,84.0,150.0,1.7894644928138064,0,False,LIDAR_PROFILE_CLEAR,37.652285488295064,"{""min"":40.210535507186194,""mean"":79.10607618225649,""max"":150.0}","{""min"":40.210535507186194,""mean"":79.10607618225649,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
306,5.116666666666654,M0_STRAIGHT,-1.7894435196563099,192.25677435314893,84.0,150.0,1.7894435196563094,0,False,LIDAR_PROFILE_CLEAR,37.08704048810338,"{""min"":40.21055648034369,""mean"":79.10607660497692,""max"":150.0}","{""min"":40.21055648034369,""mean"":79.10607660497692,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
312,5.2166666666666535,M0_STRAIGHT,-1.7894489656719645,195.95952626557707,84.0,150.0,1.7894489656719657,0,False,LIDAR_PROFILE_CLEAR,37.06118621444785,"{""min"":40.210551034328034,""mean"":79.1060764952108,""max"":150.0}","{""min"":40.210551034328034,""mean"":79.1060764952108,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
318,5.316666666666653,M0_STRAIGHT,-1.7894354612895682,199.68761966838798,84.0,150.0,1.789435461289571,0,False,LIDAR_PROFILE_CLEAR,37.48212803399574,"{""min"":40.21056453871043,""mean"":79.10607676739578,""max"":150.0}","{""min"":40.21056453871043,""mean"":79.10607676739578,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
324,5.416666666666653,M0_STRAIGHT,-1.7893001059766513,203.46968107034272,84.0,150.0,1.7893001059766505,0,False,LIDAR_PROFILE_CLEAR,38.06271772381326,"{""min"":40.21069989402335,""mean"":79.10607949552367,""max"":150.0}","{""min"":40.21069989402335,""mean"":79.10607949552367,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
330,5.516666666666652,M0_STRAIGHT,-1.7890788008776177,207.30458461378223,84.0,150.0,1.7890788008776184,0,False,LIDAR_PROFILE_CLEAR,38.52133047559469,"{""min"":40.21092119912238,""mean"":79.10608395599591,""max"":150.0}","{""min"":40.21092119912238,""mean"":79.10608395599591,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
336,5.616666666666652,M0_STRAIGHT,-1.7889084965104958,211.16850168390172,84.0,150.0,1.7889084965104942,0,False,LIDAR_PROFILE_CLEAR,38.67238839806682,"{""min"":40.211091503489506,""mean"":79.10608738853274,""max"":150.0}","{""min"":40.211091503489506,""mean"":79.10608738853273,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
342,5.716666666666652,M0_STRAIGHT,-1.788772639731765,215.02580432863482,84.0,150.0,1.7887726397317678,0,False,LIDAR_PROFILE_CLEAR,38.45332739562511,"{""min"":40.21122736026823,""mean"":79.10609012676782,""max"":150.0}","{""min"":40.21122736026823,""mean"":79.10609012676782,""max"":150.0}",1.9895196601282805e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
348,5.816666666666651,M0_STRAIGHT,-1.7886568785921932,218.84392794746,84.0,150.0,1.7886568785921924,0,False,LIDAR_PROFILE_CLEAR,37.96273330835621,"{""min"":40.21134312140781,""mean"":79.10609245996915,""max"":150.0}","{""min"":40.21134312140781,""mean"":79.10609245996915,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
354,5.916666666666651,M0_STRAIGHT,-1.7885103210933024,222.60831266457146,84.0,150.0,1.7885103210933053,0,False,LIDAR_PROFILE_CLEAR,37.429394623805734,"{""min"":40.211489678906695,""mean"":79.10609541388054,""max"":150.0}","{""min"":40.211489678906695,""mean"":79.10609541388054,""max"":150.0}",2.2737367544323206e-13,CORRIDOR_ONLY,0,0.0,0.0,0.0
