timestamp,phase,threshold,component_id,robot_count,centroid_x,centroid_y,centroid_range,centroid_bearing_deg,bearing_std_deg,spatial_span,forward_zero_count,front_cohort_count,retention_fraction,matched_previous_component_id,lifetime_samples,radial_rate
3.816666666666658,SPH_OPENING_APPROACH,150,150-1,2,167.61856522548553,-4.2648253204626,167.67281277316368,-1.4574983444639986,1.7705402121628433,11.35840311223024,0,2,1.0,150-1,38,12.572164216476551
3.816666666666658,SPH_OPENING_APPROACH,150,150-1,2,146.89530540790392,18.58365367484525,148.06614378306728,7.210158644487132,1.738412044326299,11.483794292516407,0,2,1.0,150-1,38,7.141827824735856
3.816666666666658,SPH_OPENING_APPROACH,150,150-1,1,134.080440287293,37.38217998608174,139.194079788424,15.578689540580685,0.0,0.0,1,1,1.0,150-1,38,7.211398686349071
3.816666666666658,SPH_OPENING_APPROACH,180,180-1,64,7.606495225556129,-37.619193643452675,38.38049634905727,-78.56907105776155,40.979515407258404,77.42232146565144,0,0,1.0,180-1,38,7.105427357601002e-14
3.816666666666658,SPH_OPENING_APPROACH,180,180-2,6,106.92535276293808,-110.55995472487542,153.80680951194992,-45.95743464795741,2.3808008800057463,38.36376744143687,1,2,0.5,180-2,38,-103.09512287647891
3.816666666666658,SPH_OPENING_APPROACH,180,180-5,4,44.33161021193797,-73.7115855410169,86.01563524705178,-58.97646401046352,4.375526945835982,29.48797067598275,2,0,1.0,180-5,28,-2.0380913507941045
3.816666666666658,SPH_OPENING_APPROACH,180,180-3,3,37.87930160475025,-1.1064603282894436,37.89545809885023,-1.673142934659209,10.501275692926747,18.62865314627868,2,0,1.0,180-3,38,-7.2164956805271885
3.816666666666658,SPH_OPENING_APPROACH,180,180-3,3,106.8076851007612,49.341734634501314,117.65410478740176,24.795426975606606,1.7885999334849456,22.629618207385167,0,2,1.0,180-3,38,6.7816739606016085
3.816666666666658,SPH_OPENING_APPROACH,180,180-8,2,31.82664934345648,-37.13685206116327,48.90890910094055,-49.40309759856756,5.176237791566461,12.911662356792684,0,0,1.0,180-8,24,-4.08191816111156
3.816666666666658,SPH_OPENING_APPROACH,180,180-3,2,80.18432786183777,6.014945482061934,80.40961387674281,4.289949782564391,0.14509710495285688,8.192531937575303,0,0,1.0,180-3,38,2.462158026983161
3.816666666666658,SPH_OPENING_APPROACH,180,180-9,2,167.61856522548553,-4.2648253204626,167.67281277316368,-1.4574983444639986,1.7705402121628433,11.35840311223024,0,2,1.0,180-9,17,12.572164216476551
3.816666666666658,SPH_OPENING_APPROACH,180,180-9,2,146.89530540790392,18.58365367484525,148.06614378306728,7.210158644487132,1.738412044326299,11.483794292516407,0,2,1.0,180-9,17,7.141827824735856
3.816666666666658,SPH_OPENING_APPROACH,180,180-5,1,81.34246418551331,-76.97660049604146,111.99104206899177,-43.420391223575194,0.0,0.0,0,0,1.0,180-5,28,2.096295413520437
3.816666666666658,SPH_OPENING_APPROACH,180,180-9,1,173.0878422785977,-26.37651214058224,175.08604038404374,-8.664530725290563,0.0,0.0,1,1,1.0,180-9,17,13.91718916796151
3.816666666666658,SPH_OPENING_APPROACH,180,180-3,1,134.080440287293,37.38217998608174,139.194079788424,15.578689540580685,0.0,0.0,1,1,1.0,180-3,38,7.211398686349071
3.816666666666658,SPH_OPENING_APPROACH,180,180-2,1,140.5347525051102,-101.38382010809703,173.28789813885894,-35.80722983716806,0.0,0.0,0,1,1.0,180-2,38,10.250660749301232
3.816666666666658,SPH_OPENING_APPROACH,180,180-12,1,156.22724645238384,-82.48334840929392,176.664810584629,-27.832723858967373,0.0,0.0,0,1,1.0,180-12,17,9.496033128659747
3.816666666666658,SPH_OPENING_APPROACH,180,180-2,1,170.93861629631792,-61.87347466449474,181.79201689941635,-19.89838766596506,0.0,0.0,1,1,1.0,180-2,38,12.641003982436416
3.9166666666666576,SPH_OPENING_APPROACH,90,90-1,68,97.5821775163505,-34.99604349475778,103.66775983457691,-19.72943320783063,27.093268520389223,230.24744464896997,10,22,0.9855072463768116,90-1,39,11.128129763474846
3.9166666666666576,SPH_OPENING_APPROACH,90,90-1,64,7.7282251198907,-37.59437506457965,38.38049634905726,-78.3836097582649,40.96212586850083,77.50622866407396,0,0,1.0,90-1,39,-7.105427357601002e-14
3.9166666666666576,SPH_OPENING_APPROACH,120,120-1,64,7.7282251198907,-37.59437506457965,38.38049634905726,-78.3836097582649,40.96212586850083,77.50622866407396,0,0,1.0,120-1,39,-7.105427357601002e-14
3.9166666666666576,SPH_OPENING_APPROACH,120,120-1,61,97.21199105785146,-33.84976364972731,102.93676556301054,-19.198405534786836,27.61898622598694,230.24744464896997,10,20,0.967741935483871,120-1,39,3.323654239599989
3.9166666666666576,SPH_OPENING_APPROACH,150,150-1,64,7.7282251198907,-37.59437506457965,38.38049634905726,-78.3836097582649,40.96212586850083,77.50622866407396,0,0,1.0,150-1,39,-7.105427357601002e-14
3.9166666666666576,SPH_OPENING_APPROACH,150,150-1,26,56.88964118530747,-36.01881271917511,67.33339545791554,-32.339324935997716,27.474420847157024,100.46137599789647,4,0,0.9629629629629629,150-1,39,-20.380809207997714
3.9166666666666576,SPH_OPENING_APPROACH,150,150-1,16,136.42299225949333,-87.03535057143523,161.82207842604916,-32.537123821825496,13.244201156644323,123.56610787708037,3,11,0.9375,150-1,39,-8.003194144395707
3.9166666666666576,SPH_OPENING_APPROACH,150,150-1,6,102.22853011708035,40.6294231769183,110.00646525358367,21.674714735094472,5.122432651861663,38.41359202872585,1,1,1.0,150-1,39,4.397709714062614
3.9166666666666576,SPH_OPENING_APPROACH,150,150-1,2,168.88772123407716,-3.299467251679748,168.91994810496558,-1.1192140025998767,1.732235887649213,11.238368452745481,1,2,1.0,150-1,39,12.471353318018998
3.9166666666666576,SPH_OPENING_APPROACH,150,150-1,2,147.43236190728106,20.119449976275877,148.7988360334427,7.770902996630887,1.7657281273275869,11.504584525691378,0,2,1.0,150-1,39,7.326922503754361
3.9166666666666576,SPH_OPENING_APPROACH,150,150-1,1,134.38168184269782,38.932228325617295,139.9076653270651,16.15703214631421,0.0,0.0,1,1,1.0,150-1,39,7.135855386410981
3.9166666666666576,SPH_OPENING_APPROACH,180,180-1,64,7.7282251198907,-37.59437506457965,38.38049634905726,-78.3836097582649,40.96212586850083,77.50622866407396,0,0,1.0,180-1,39,-7.105427357601002e-14
3.9166666666666576,SPH_OPENING_APPROACH,180,180-2,6,107.44789819285961,-111.72982401885001,155.01162666505476,-46.119206233064276,2.2724507362979325,37.858203642106545,1,2,1.0,180-2,39,12.04817153104841
3.9166666666666576,SPH_OPENING_APPROACH,180,180-5,4,43.93139579310194,-73.66818896053373,85.77277890481967,-59.19062357101329,4.575238582257643,30.079153744876695,2,0,1.0,180-5,29,-2.4285634223210195
3.9166666666666576,SPH_OPENING_APPROACH,180,180-3,4,104.44319497154817,48.026259232481195,114.9560896678828,24.69445612952939,2.3020370491461235,26.49289965427011,1,1,0.75,180-3,39,-26.980151195189706
3.9166666666666576,SPH_OPENING_APPROACH,180,180-3,3,37.096731998889986,-0.8982970899804622,37.10760653369246,-1.3871457929972018,10.753379284763271,18.648560651243766,2,0,1.0,180-3,39,-7.878515651577658
3.9166666666666576,SPH_OPENING_APPROACH,180,180-8,2,31.22632823661848,-37.052274197287794,48.455697274232215,-49.87701178842799,5.157812862628056,12.797442969436931,0,0,1.0,180-8,25,-4.532118267083334
3.9166666666666576,SPH_OPENING_APPROACH,180,180-3,2,80.48035162317045,6.283500690809602,80.7252710018403,4.464309686034185,0.14456455461702022,8.22666676237305,0,0,1.0,180-3,39,3.156571250974878
