frame,time,profile_junction_detected,detection_latched,phase,forward_propulsion_enabled,leader_braking,leader_speed,stationary,stationary_dwell,stationary_dwell_target,anchor_active,pointcloud_ready,first_detection_time,detection_latch_time,hold_entry_time,braking_start_time,stationary_confirmation_time,anchor_entry_time,distance_since_detection_eval,distance_during_braking_eval,distance_since_anchor_eval,anchor_heading_drift_eval,leader_gap,connected_component_size,follower_mean_speed,follower_moving_fraction,mean_lateral_sph_force,lateral_span,min_robot_distance,overlap_pairs,max_speed,nan_inf_state_count,outside_free_space_robot_count,GT_phase_eval_only
306,5.116666666666654,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.415185190480763,680,3.204851618995215,0.7908689248895434,27.657117821602075,81.75994597867691,3.2759776928680293,0,7.102631071760598,0,0,CORRIDOR
312,5.2166666666666535,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.400055590980917,680,3.157679572555201,0.7849779086892489,27.457261803106732,81.75994597867691,3.2891984147054654,0,7.009530890901335,0,0,CORRIDOR
318,5.316666666666653,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.385716694999555,680,3.116377603816971,0.7820324005891016,27.172108191493937,81.75994597867691,3.3012723653653895,0,6.911220625222091,0,0,CORRIDOR
324,5.416666666666653,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.382297024413875,680,3.081588329293831,0.7731958762886598,27.012762630231897,81.75994597867691,3.2916226669385473,0,6.808507243366275,0,0,CORRIDOR
330,5.516666666666652,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.3960973271631607,680,3.0510749245071938,0.7643593519882179,26.751004501116146,81.75994597867691,3.2918467125375366,0,6.690106816460432,0,0,CORRIDOR
336,5.616666666666652,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.4335304137173344,680,3.023764549631734,0.7540500736377025,26.57803822864045,81.75994597867691,3.2885841103920743,0,6.537528300897371,0,0,CORRIDOR
342,5.716666666666652,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.494705087714705,680,2.997294044638366,0.7496318114874816,26.385698632722168,81.75994597867691,3.290589995533731,0,6.460593065604244,0,0,CORRIDOR
348,5.816666666666651,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.536255494969784,680,2.9713386975337,0.7511045655375552,26.099138832002268,81.75994597867691,3.287101571717778,0,6.689541871590837,0,0,CORRIDOR
354,5.916666666666651,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.5420694412476954,680,2.9453704773663394,0.7511045655375552,25.89963783443893,81.75994597867691,3.285117559576019,0,6.626056470684298,0,0,CORRIDOR
360,6.016666666666651,True,True,PROVISIONAL_FIXED_ANCHOR,False,False,0.0,True,6,6,True,True,0.6166666666666669,0.6166666666666669,0.6166666666666669,0.6333333333333336,1.35,1.35,20.142523653043746,18.730045770259014,0.0,0.0,3.559022025838327,680,2.9226333533605464,0.7496318114874816,25.758646161292585,81.75994597867691,3.2850013928126467,0,6.447641046913083,0,0,CORRIDOR
