map_case,frame,timestamp,profile_junction_detected,junction_detection_latched,braking_active,leader_speed,stationary_dwell_steps,provisional_fixed_anchor,pointcloud_ready,pointcloud_called,pointcloud_opening_count,primary_pointcloud_call_count,pointcloud_called_before_ready_count,anchor_entry_time,anchor_x_eval_only,anchor_y_eval_only,anchor_heading_local_deg,detection_to_anchor_distance_eval_only,anchor_drift_eval_only,GT_phase_eval_only,nan_inf,outside
M1_CROSS_BASELINE,414,6.916666666666647,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,420,7.016666666666647,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,426,7.116666666666647,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,432,7.216666666666646,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,438,7.316666666666646,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,444,7.416666666666646,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,450,7.516666666666645,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,456,7.616666666666645,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,462,7.716666666666645,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,468,7.816666666666644,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,474,7.916666666666644,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,480,8.016666666666644,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,486,8.11666666666665,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,492,8.216666666666654,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,498,8.31666666666666,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,504,8.416666666666664,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,510,8.51666666666667,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,516,8.616666666666674,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,522,8.71666666666668,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,528,8.816666666666684,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,534,8.91666666666669,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,540,9.016666666666694,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,546,9.1166666666667,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,552,9.216666666666704,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,558,9.316666666666709,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,564,9.416666666666714,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,570,9.516666666666719,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,576,9.616666666666724,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,582,9.716666666666729,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,588,9.816666666666734,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
M1_CROSS_BASELINE,594,9.916666666666739,True,True,False,0.0,6,True,True,False,2,1,0,1.35,-1.7620542030564665,-152.74884977027222,90.0,20.142523653043746,0.0,CORRIDOR,0,0
