case,candidate_id,grid_stage,forward_offset,lateral_offset,forward_ratio_W,lateral_ratio_W,distance_ratio_W,candidate_valid,candidate_inside_free_space_eval,robot_footprint_walkable_eval,robot_radius,wall_clearance_eval,straight_line_path_clear_eval,valid_lidar_hits,max_range_count,plus90_axis_los_eval,minus90_axis_los_eval,forward_axis_los_eval,incoming_axis_los_eval,plus90_mouth_visible_fraction_eval,minus90_mouth_visible_fraction_eval,forward_mouth_visible_fraction_eval,plus90_detected_eval,minus90_detected_eval,forward_detected_eval,incoming_detected_eval,opening_count,outgoing_match_count_eval,outgoing_total_eval,false_opening_count_eval,lateral_false_opening_count_eval,axial_false_opening_count_eval,opening_center_error_eval,opening_IoU_eval,wall_support_count,tangent_support_count
M1_CROSS_BASELINE,F+0.200_L+0.100,COARSE_0.10W,16.8,8.4,0.2,0.1,0.223606797749979,True,True,True,1.1199999999999999,31.837945796943536,True,279,81,False,False,True,True,0.5714285714285714,0.6190476190476191,0.0,False,False,True,True,2,1,3,0,0,0,5.5,0.5148028659476017,10,2
M1_CROSS_BASELINE,F+0.200_L+0.200,COARSE_0.10W,16.8,16.8,0.2,0.2,0.282842712474619,True,True,True,1.1199999999999999,23.437945796943534,True,281,79,False,False,True,True,0.5238095238095238,0.6666666666666666,0.0,False,False,True,True,2,1,3,0,0,0,9.0,0.5212006483117695,16,2
M1_CROSS_BASELINE,F+0.200_L+0.300,COARSE_0.10W,16.8,25.2,0.2,0.3,0.3605551275463989,True,True,True,1.1199999999999999,15.037945796943536,True,281,79,False,False,True,True,0.47619047619047616,0.6666666666666666,0.0,False,False,True,True,2,1,3,0,0,0,18.5,0.43812423356671576,38,2
M1_CROSS_BASELINE,F+0.200_L+0.400,COARSE_0.10W,16.8,33.6,0.2,0.4,0.447213595499958,True,True,True,1.1199999999999999,6.637945796943534,True,282,78,False,False,True,True,0.42857142857142855,0.6666666666666666,0.0,False,False,True,True,2,1,3,0,0,0,28.5,0.3699273710011653,60,2
M1_CROSS_BASELINE,F+0.200_L+0.500,COARSE_0.10W,16.8,42.0,0.2,0.5,0.5385164807134504,False,False,False,1.1199999999999999,1.762054203056465,False,231,129,False,True,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.5,0.014035611760883963,53,1
M1_CROSS_BASELINE,F+0.200_L+0.600,COARSE_0.10W,16.8,50.4,0.2,0.6,0.6324555320336759,False,False,False,1.1199999999999999,10.162054203056464,False,228,132,False,True,False,True,0.0,0.0,0.0,False,False,True,False,1,1,3,0,0,0,89.0,0.024199442082809483,58,1
M1_CROSS_BASELINE,F+0.200_L+0.700,COARSE_0.10W,16.8,58.8,0.2,0.7,0.7280109889280518,False,False,False,1.1199999999999999,18.562054203056462,False,224,136,False,True,False,True,0.0,0.0,0.0,False,True,False,False,2,1,3,1,0,1,7.0,0.0,54,2
M1_CROSS_BASELINE,F+0.300_L-0.700,COARSE_0.10W,25.2,-58.8,0.3,-0.7,0.7615773105863908,False,False,False,1.1199999999999999,15.037945796943532,False,230,130,True,False,False,True,0.0,0.0,0.0,True,False,False,False,1,1,3,0,0,0,18.0,0.0,28,1
M1_CROSS_BASELINE,F+0.300_L-0.600,COARSE_0.10W,25.2,-50.4,0.3,-0.6,0.6708203932499369,False,False,False,1.1199999999999999,6.637945796943534,False,233,127,True,False,False,True,0.0,0.0,0.0,True,False,False,False,1,1,3,0,0,0,7.0,0.0,46,1
M1_CROSS_BASELINE,F+0.300_L-0.500,COARSE_0.10W,25.2,-42.0,0.3,-0.5,0.5830951894845301,True,True,True,1.1199999999999999,1.762054203056465,True,281,79,False,False,True,True,0.7619047619047619,0.47619047619047616,0.0,False,False,True,True,2,1,3,0,0,0,38.0,0.322237494784732,86,2
